"N","Name","File"
"0","Twang","000-twang.svg"
"1","Clav","001-clav.svg"
"2","Xylophone","002-xylophone.svg"
"3","Slippery Slope","003-slippery-slope.svg"
"4","Enharmonic Square","004-enharmonic-square.svg"
"5","Xylophone 2","005-xylophone-2.svg"
"6","Mellow Square","006-mellow-square.svg"
"7","Chaos 1","007-chaos-1.svg"
"8","Chaos 2","008-chaos-2.svg"
"9","Chaos 3","009-chaos-3.svg"
"10","Chaos 4","010-chaos-4.svg"
"11","Bright Square","011-bright-square.svg"
"12","Hollow","012-hollow.svg"
"13","BP Square","013-bp-square.svg"
"14","Ski Slope 1","014-ski-slope-1.svg"
"15","Rasp","015-rasp.svg"
"16","Peal","016-peal.svg"
"17","Fuzz","017-fuzz.svg"
"18","Floss","018-floss.svg"
"19","Excite","019-excite.svg"
"20","Awaken","020-awaken.svg"
"21","Energize","021-energize.svg"
"22","BP Twang","022-bp-twang.svg"
"23","Complex Pulse","023-complex-pulse.svg"
"24","Mellow Square 2","024-mellow-square-2.svg"
"25","Harmonic Square","025-harmonic-square.svg"
"26","Thin Ramp","026-thin-ramp.svg"
"27","Xylophone 3","027-xylophone-3.svg"
"28","Thin Square","028-thin-square.svg"
"29","Harmonic Ramp","029-harmonic-ramp.svg"
"30","Rouse","030-rouse.svg"
"31","Waken","031-waken.svg"
"32","Sine","032-sine.svg"
"33","Sawtooth","033-sawtooth.svg"
"34","Square","034-square.svg"
"35","Dome 1","035-dome-1.svg"
"36","Dome 2","036-dome-2.svg"
"37","Mellow Dome","037-mellow-dome.svg"
"38","Dome 3","038-dome-3.svg"
"39","Dome 4","039-dome-4.svg"
"40","Rasp 1","040-rasp-1.svg"
"41","Rasp 2","041-rasp-2.svg"
"42","Rasp 3","042-rasp-3.svg"
"43","Rasp 4","043-rasp-4.svg"
"44","Dome 5","044-dome-5.svg"
"45","HP Saw","045-hp-saw.svg"
"46","High BP Saw","046-high-bp-saw.svg"
"47","High BP Square","047-high-bp-square.svg"
"48","Vocal","048-vocal.svg"
"49","Squeeze box","049-squeeze-box.svg"
"50","Pulse","050-pulse.svg"
"51","Limp Saw","051-limp-saw.svg"
"52","Spark Wave 1","052-spark-wave-1.svg"
"53","Spark Wave 2","053-spark-wave-2.svg"
"54","Spark Wave 3","054-spark-wave-3.svg"
"55","Mid Wave 1","055-mid-wave-1.svg"
"56","Cacophonous Buzz 1","056-cacophonous-buzz-1.svg"
"57","Mid Buzz 1","057-mid-buzz-1.svg"
"58","Dome 6","058-dome-6.svg"
"59","Soft Dome 3","059-soft-dome-3.svg"
"60","Dome 7","060-dome-7.svg"
"61","Spark Wave 4","061-spark-wave-4.svg"
"62","Spark Wave 5","062-spark-wave-5.svg"
"63","Soft Dome 4","063-soft-dome-4.svg"
"64","Dome 8","064-dome-8.svg"
"65","Organ","065-organ.svg"
"66","Spark Wave 5","066-spark-wave-5.svg"
"67","Soft Wave 1","067-soft-wave-1.svg"
"68","Soft Wave 2","068-soft-wave-2.svg"
"69","Spark Wave 7","069-spark-wave-7.svg"
"70","Reed","070-reed.svg"
"71","Soft Wave 3","071-soft-wave-3.svg"
"72","Soft Wave 4","072-soft-wave-4.svg"
"73","Saxophone","073-saxophone.svg"
"74","Soft Wave 5","074-soft-wave-5.svg"
"75","Trashy Wave 1","075-trashy-wave-1.svg"
"76","Trashy Wave 2","076-trashy-wave-2.svg"
"77","Trashy Wave 3","077-trashy-wave-3.svg"
"78","Trashy Wave 4","078-trashy-wave-4.svg"
"79","Trashy Wave 5","079-trashy-wave-5.svg"
"80","Trashy Wave 6","080-trashy-wave-6.svg"
"81","Jaw Harp 1","081-jaw-harp-1.svg"
"82","Jaw Harp 2","082-jaw-harp-2.svg"
"83","Soft Wave 6","083-soft-wave-6.svg"
"84","Thin 1","084-thin-1.svg"
"85","Thin 2","085-thin-2.svg"
"86","Spark Wave 8","086-spark-wave-8.svg"
"87","Spark Wave 9","087-spark-wave-9.svg"
"88","Spark Wave 10","088-spark-wave-10.svg"
"89","Soft Dome 5","089-soft-dome-5.svg"
"90","Soft Dome 6","090-soft-dome-6.svg"
"91","Cacophonous Buzz 2","091-cacophonous-buzz-2.svg"
"92","Thin 3","092-thin-3.svg"
"93","Spark Wave 11","093-spark-wave-11.svg"
"94","Soft Dome 7","094-soft-dome-7.svg"
"95","Soft Wave 7","095-soft-wave-7.svg"
"96","Sine 2","096-sine-2.svg"
"97","Sync'd Sine","097-sync-d-sine.svg"
"98","Trashy Wave 7","098-trashy-wave-7.svg"
"99","Twingle Pad","099-twingle-pad.svg"
"100","Dome 9","100-dome-9.svg"
"101","Thin 4","101-thin-4.svg"
"102","Thin 5","102-thin-5.svg"
"103","Trashy Wave 8","103-trashy-wave-8.svg"
"104","Trashy Wave 9","104-trashy-wave-9.svg"
"105","Trashy Wave 10","105-trashy-wave-10.svg"
"106","Trashy Wave 11","106-trashy-wave-11.svg"
"107","Trashy Wave 12","107-trashy-wave-12.svg"
"108","Trashy Wave 13","108-trashy-wave-13.svg"
"109","Spark Wave 12","109-spark-wave-12.svg"
"110","Spark Wave 13","110-spark-wave-13.svg"
"111","Trashy Wave 14","111-trashy-wave-14.svg"
"112","Trashy Wave 15","112-trashy-wave-15.svg"
"113","Rainbow","113-rainbow.svg"
"114","Soft Dome 8","114-soft-dome-8.svg"
"115","Trashy Wave 15","115-trashy-wave-15.svg"
"116","Soothing 1","116-soothing-1.svg"
"117","Soothing 2","117-soothing-2.svg"
"118","Space Wave","118-space-wave.svg"
"119","5th Rasp","119-5th-rasp.svg"
"120","Octave Wave","120-octave-wave.svg"
"121","Triangle + Overtones","121-triangle-plus-overtones.svg"
"122","Pulse + Overtones","122-pulse-plus-overtones.svg"
"123","Rising Square","123-rising-square.svg"
"124","Soft Wave 8","124-soft-wave-8.svg"
"125","Cacophonous Buzz 3","125-cacophonous-buzz-3.svg"
"126","Silence","126-silence.svg"
"127","White Noise","127-white-noise.svg"
